Date,Group,Milk,Fat,Protein,Lactose,Somatic_cells
2005-01-10,21,31.8,4.12,3.03,4.81,198
2005-01-10,22,36.26,4.15,3.13,4.82,246
2005-01-10,23,37.13,3.95,3.12,4.9,679
2005-01-10,24,23.1,4.47,3.46,4.82,337
2005-01-10,25,23.22,4.36,3.42,4.84,227
2005-02-07,21,35.7,3.75,2.99,4.85,401
2005-02-07,22,40.8,3.88,3.05,4.9,550
2005-02-07,23,40.66,3.9,3.12,4.93,455
2005-02-07,24,23.07,4.43,3.4,4.72,679
2005-02-07,25,22.85,4.16,3.41,4.82,636
2005-03-25,21,35.4,3.72,3.04,4.94,131
2005-03-25,22,39.17,3.87,2.97,4.81,198
2005-03-25,23,40.86,3.82,3.06,4.92,321
2005-03-25,24,22.54,4.3,3.44,4.81,310
2005-03-25,25,24.0,4.21,3.43,4.83,374
2005-04-13,21,37.65,3.66,3.07,4.95,121
2005-04-13,22,38.75,4.16,3.13,4.82,253
2005-04-13,23,40.72,3.81,3.02,4.75,288
2005-04-13,24,24.51,4.59,3.49,4.74,461
2005-04-13,25,24.02,4.33,3.44,4.74,393
2005-05-18,21,36.45,3.58,3.02,4.97,220
2005-05-18,22,41.23,3.74,3.01,4.9,164
2005-05-18,23,42.29,3.64,3.0,4.88,289
2005-05-18,24,24.96,4.22,3.3,4.75,299
2005-05-18,25,25.38,4.08,3.23,4.75,296
2005-06-23,21,35.67,3.32,2.96,4.95,120
2005-06-23,22,39.13,3.67,2.91,4.82,302
2005-06-23,23,41.09,3.56,2.94,4.9,240
2005-06-23,24,25.09,3.89,3.3,4.77,487
2005-06-23,25,26.26,3.65,3.19,4.78,199
2005-07-17,21,35.8,3.38,2.88,4.88,136
2005-07-17,22,38.08,3.49,2.97,4.88,229
2005-07-17,23,40.75,3.42,2.93,4.9,172
2005-07-17,24,23.82,4.01,3.34,4.79,295
2005-07-17,25,26.61,3.59,3.17,4.73,322
2005-07-17,28,18.8,4.03,3.58,5.0,73
2005-08-23,21,34.72,3.28,2.87,4.72,145
2005-08-23,22,37.57,3.46,2.97,4.71,280
2005-08-23,23,38.81,3.35,3.01,4.75,268
2005-08-23,24,24.52,4.05,3.38,4.67,384
2005-08-23,25,25.95,3.99,3.33,4.7,316
2005-09-15,21,34.94,3.54,3.05,4.96,73
2005-09-15,22,39.06,3.54,3.04,4.89,239
2005-09-15,23,39.0,3.54,3.1,4.81,222
2005-09-15,24,23.19,3.86,3.33,4.58,340
2005-09-15,25,26.03,3.89,3.39,4.79,355
2005-10-30,1,32.83,3.43,3.02,4.72,212
2005-10-30,2,38.25,3.5,3.08,4.74,240
2005-10-30,3,39.21,3.32,3.1,4.72,239
2005-10-30,4,22.64,3.99,3.43,4.5,226
2005-10-30,5,24.27,3.87,3.52,4.7,266
2005-12-05,1,37.88,3.59,3.08,4.87,200
2005-12-05,2,41.45,3.76,3.18,4.8,171
2005-12-05,3,40.31,3.66,3.12,4.68,426
2005-12-05,4,25.04,4.1,3.54,4.63,278
2005-12-05,5,23.45,4.26,3.58,4.68,341
2005-12-28,1,37.78,3.81,3.11,4.84,149
2005-12-28,2,42.15,3.89,3.19,4.82,346
2005-12-28,3,42.73,3.7,3.2,4.79,241
2005-12-28,4,25.87,4.3,3.56,4.69,364
2005-12-28,5,26.52,4.39,3.54,4.75,197
2006-01-25,1,38.27,3.69,3.16,4.89,259
2006-01-25,2,41.38,3.5,3.0,4.55,352
2006-01-25,3,42.63,3.7,3.15,4.76,289
2006-01-25,4,25.92,4.06,3.41,4.57,329
2006-01-25,5,25.3,3.95,3.26,4.54,182
2006-02-19,1,38.16,3.48,3.16,4.9,83
2006-02-19,2,40.81,3.51,3.17,4.82,590
2006-02-19,3,41.85,3.43,3.18,4.81,319
2006-02-19,4,26.31,4.04,3.55,4.76,344
2006-02-19,5,26.83,3.91,3.41,4.81,403
2006-03-22,1,39.32,3.43,3.11,4.98,249
2006-03-22,2,43.04,3.46,3.16,4.89,404
2006-03-22,3,43.28,3.31,3.1,4.76,419
2006-03-22,4,27.01,3.84,3.49,4.78,254
2006-03-22,5,25.71,3.84,3.43,4.8,328
2006-04-26,1,38.43,3.28,2.87,4.62,232
2006-04-26,2,41.89,3.59,3.05,4.72,373
2006-04-26,3,43.95,3.55,3.05,4.71,441
2006-04-26,4,24.28,3.91,3.18,4.39,272
2006-04-26,5,25.4,4.1,3.43,4.66,369
2006-05-30,1,38.42,3.23,3.01,4.85,265
2006-05-30,2,43.72,3.38,3.04,4.75,304
2006-05-30,3,40.86,3.23,3.02,4.76,209
2006-05-30,4,26.91,3.94,3.39,4.74,208
2006-05-30,5,23.94,4.02,3.27,4.48,140
2006-06-20,1,35.81,2.93,2.9,4.6,191
2006-06-20,2,42.52,3.3,3.01,4.73,421
2006-06-20,3,40.62,3.07,2.98,4.63,171
2006-06-20,4,25.88,3.82,3.34,4.64,169
2006-06-20,5,24.41,3.9,3.33,4.65,180
2006-07-30,1,35.4,2.87,2.76,4.58,188
2006-07-30,2,40.95,2.75,2.47,4.06,169
2006-07-30,3,38.82,3.04,2.85,4.7,120
2006-07-30,4,25.75,3.98,3.33,4.87,355
2006-07-30,5,23.92,4.14,3.37,4.77,339
2006-08-27,1,34.69,3.2,2.92,4.74,496
2006-08-27,2,38.74,3.43,2.81,4.58,352
2006-08-27,3,36.79,3.62,2.92,4.73,325
2006-08-27,4,23.68,4.0,3.28,4.6,449
2006-08-27,5,22.65,4.13,3.21,4.46,301
2006-09-25,1,34.89,3.3,2.99,4.72,208
2006-09-25,2,43.15,3.23,2.95,4.64,384
2006-09-25,3,39.85,3.32,3.04,4.69,192
2006-09-25,4,24.18,4.12,3.45,4.51,393
2006-09-25,5,24.76,4.1,3.37,4.53,325
2006-10-19,1,34.67,3.53,3.09,4.87,294
2006-10-19,2,40.86,3.52,3.01,4.68,492
2006-10-19,3,39.44,3.47,3.02,4.73,154
2006-10-19,4,22.6,4.16,3.5,4.51,357
2006-10-19,5,24.17,4.24,3.48,4.59,354
2006-11-19,1,36.11,3.38,3.24,4.84,203
2006-11-19,2,43.31,3.41,3.15,4.74,420
2006-11-19,3,40.41,3.25,3.17,4.75,371
2006-11-19,4,21.47,4.23,3.54,4.52,365
2006-11-19,5,19.91,4.07,3.38,4.29,379
2006-12-20,1,37.19,3.73,3.18,4.95,191
2006-12-20,2,41.35,3.71,3.17,4.8,486
2006-12-20,3,43.22,3.38,3.11,4.83,211
2006-12-20,4,23.93,4.28,3.5,4.67,224
2006-12-20,5,23.7,4.39,3.63,4.55,285
2007-01-12,1,37.96,3.76,3.23,4.93,99
2007-01-12,2,39.91,3.73,3.22,4.8,355
2007-01-12,3,42.66,3.46,3.17,4.76,273
2007-01-12,4,24.43,4.36,3.53,4.78,209
2007-01-12,5,25.02,4.42,3.64,4.67,268
2007-02-05,1,38.69,3.88,3.1,4.88,144
2007-02-05,2,41.49,3.89,3.11,4.74,353
2007-02-05,3,42.65,3.46,3.05,4.72,603
2007-02-05,4,25.44,4.28,3.49,4.73,355
2007-02-05,5,26.32,4.25,3.54,4.65,1057
2007-02-05,7,20.6,4.3,3.57,4.63,591
2007-03-11,1,31.17,4.24,2.97,4.79,207
2007-03-11,2,34.7,4.33,3.12,4.73,558
2007-03-11,3,35.62,4.0,3.09,4.75,225
2007-03-11,4,17.39,5.17,3.48,4.49,787
2007-03-11,5,18.95,4.89,3.4,4.45,626
2007-04-15,1,35.94,4.02,2.94,4.88,167
2007-04-15,2,40.74,3.9,2.93,4.76,353
2007-04-15,3,40.71,3.94,3.02,4.85,180
2007-04-15,4,23.64,4.29,3.21,4.64,549
2007-04-15,5,25.05,4.37,3.28,4.75,248
2007-05-21,1,36.23,3.82,2.92,4.86,186
2007-05-21,2,42.52,3.46,3.01,4.84,252
2007-05-21,3,40.01,3.66,3.05,4.8,290
2007-05-21,4,24.39,3.83,3.2,4.54,542
2007-05-21,5,25.91,3.86,3.29,4.74,306
2007-06-27,1,34.52,3.1,2.53,4.34,115
2007-06-27,2,38.31,3.54,2.8,4.65,693
2007-06-27,3,36.96,3.6,2.86,4.67,343
2007-06-27,4,25.1,3.81,3.21,4.67,340
2007-06-27,5,24.36,3.88,3.24,4.61,523
2007-07-29,1,33.46,3.62,2.87,4.87,151
2007-07-29,2,37.9,3.53,2.95,4.78,451
2007-07-29,3,35.21,3.77,3.0,4.77,282
2007-07-29,4,23.23,4.16,3.3,4.69,242
2007-07-29,5,21.67,4.21,3.31,4.62,295
2007-08-29,1,32.54,3.27,3.05,4.91,218
2007-08-29,2,40.29,3.22,3.03,4.79,146
2007-08-29,3,37.58,3.24,3.05,4.77,304
2007-08-29,4,23.84,3.88,3.29,4.59,270
2007-08-29,5,23.08,3.92,3.37,4.59,341
2007-09-28,1,30.24,3.39,2.78,4.5,143
2007-09-28,2,37.44,3.57,3.02,4.81,128
2007-09-28,3,36.46,3.41,3.02,4.84,224
2007-09-28,4,19.84,4.23,3.46,4.63,371
2007-09-28,5,20.36,4.01,3.5,4.6,486
2007-10-30,1,27.28,3.3,2.67,4.28,144
2007-10-30,2,35.29,3.43,2.92,4.57,271
2007-10-30,3,36.25,3.61,2.98,4.79,264
2007-10-30,4,19.24,4.18,3.46,4.58,644
2007-10-30,5,18.56,3.79,3.3,4.32,415
2007-11-20,1,32.07,3.57,3.17,5.01,89
2007-11-20,2,40.56,3.47,3.17,4.85,134
2007-11-20,3,40.44,3.32,3.08,4.89,355
2007-11-20,4,22.36,4.18,3.41,4.71,524
2007-11-20,5,23.09,4.09,3.45,4.67,277
2007-11-20,7,11.7,4.54,3.84,4.18,283
2007-12-16,1,33.34,3.83,3.22,5.02,178
2007-12-16,2,42.47,3.65,3.16,4.85,232
2007-12-16,3,40.16,3.5,3.1,4.88,311
2007-12-16,4,23.37,4.13,3.34,4.78,212
2007-12-16,5,23.74,4.1,3.43,4.77,251
2008-01-14,1,34.04,3.74,3.26,5.0,134
2008-01-14,2,44.17,3.67,3.21,4.87,308
2008-01-14,3,42.02,3.7,3.17,4.86,249
2008-01-14,4,24.54,4.21,3.51,4.75,324
2008-01-14,5,26.02,4.02,3.53,4.8,275
2008-02-10,1,35.04,3.57,3.28,5.04,277
2008-02-10,2,43.34,3.4,3.13,4.83,311
2008-02-10,3,42.61,3.35,3.15,4.95,217
2008-02-10,4,23.23,3.92,3.49,4.79,511
2008-02-10,5,23.7,3.6,3.45,4.7,715
2008-03-14,1,34.97,3.63,3.16,5.0,114
2008-03-14,2,45.01,3.4,3.17,4.95,226
2008-03-14,3,45.21,3.36,3.1,4.96,308
2008-03-14,4,25.31,3.79,3.31,4.7,398
2008-03-14,5,25.58,3.92,3.47,4.89,394
2008-04-07,1,36.28,3.67,3.18,5.15,115
2008-04-07,2,44.64,3.41,3.13,4.88,395
2008-04-07,3,46.65,3.22,3.09,5.04,221
2008-04-07,4,25.36,4.1,3.47,4.96,461
2008-04-07,5,25.68,4.14,3.48,4.97,294
2008-05-18,1,35.67,3.24,3.06,4.87,133
2008-05-18,2,44.64,3.14,3.11,4.82,224
2008-05-18,3,45.21,3.08,3.0,4.78,278
2008-05-18,4,25.14,3.99,3.47,4.76,336
2008-05-18,5,24.48,3.95,3.42,4.74,396
2008-06-05,0,46.8,2.59,2.74,4.73,42
2008-06-05,1,35.39,3.59,3.02,4.83,287
2008-06-05,2,42.82,3.15,2.95,4.7,413
2008-06-05,3,44.55,3.31,2.97,4.8,234
2008-06-05,4,26.16,3.87,3.29,4.76,175
2008-06-05,5,23.88,3.74,3.17,4.61,845
2008-07-06,1,35.9,3.39,2.87,4.71,98
2008-07-06,2,42.14,3.49,2.94,4.69,448
2008-07-06,3,43.6,3.32,2.99,4.83,271
2008-07-06,4,25.21,3.98,3.37,4.82,316
2008-07-06,5,24.75,3.88,3.34,4.78,617
2008-08-12,1,35.49,2.89,2.78,4.61,199
2008-08-12,2,40.9,3.21,2.91,4.73,394
2008-08-12,3,40.26,3.06,2.97,4.83,436
2008-08-12,4,24.28,3.9,3.32,4.68,362
2008-08-12,5,25.03,3.8,3.33,4.82,523
2008-09-08,1,34.89,3.38,2.97,4.84,136
2008-09-08,2,39.41,3.1,2.93,4.7,328
2008-09-08,3,39.55,3.1,2.97,4.77,572
2008-09-08,4,24.19,3.93,3.35,4.65,270
2008-09-08,5,24.65,3.86,3.38,4.76,364
2008-10-12,1,34.47,3.28,3.15,4.89,223
2008-10-12,2,38.97,3.14,3.14,4.73,519
2008-10-12,3,39.88,3.13,3.12,4.69,270
2008-10-12,4,23.79,3.63,3.51,4.66,234
2008-10-12,5,24.42,3.55,3.53,4.71,475
2008-11-17,1,35.48,3.44,3.15,4.92,133
2008-11-17,2,40.22,3.52,3.13,4.75,306
2008-11-17,3,40.0,3.34,3.01,4.58,491
2008-11-17,4,23.56,4.13,3.48,4.7,190
2008-11-17,5,22.75,4.14,3.61,4.75,398
2008-12-08,1,35.16,3.35,3.11,4.76,193
2008-12-08,2,40.74,3.31,3.15,4.78,242
2008-12-08,3,41.21,3.17,3.09,4.78,548
2008-12-08,4,24.01,3.61,3.43,4.66,245
2008-12-08,5,23.05,3.85,3.53,4.71,242
2009-01-11,1,37.03,3.46,3.15,4.77,157
2009-01-11,2,43.41,3.21,3.2,4.72,349
2009-01-11,3,42.62,3.06,3.2,4.7,474
2009-01-11,4,24.6,3.77,3.44,4.6,396
2009-01-11,5,24.1,3.61,3.57,4.74,212
2009-02-16,1,38.18,3.57,3.19,4.96,327
2009-02-16,2,44.05,3.39,3.14,4.79,277
2009-02-16,3,44.39,3.4,3.16,4.87,553
2009-02-16,4,28.89,3.59,3.39,4.83,426
2009-02-16,5,26.96,3.53,3.41,4.76,202
2009-03-24,1,39.38,3.7,3.17,4.95,299
2009-03-24,2,43.84,3.6,3.19,4.87,322
2009-03-24,3,45.86,3.53,3.16,4.89,315
2009-03-24,4,26.38,4.1,3.5,4.76,223
2009-03-24,5,27.69,3.58,3.4,4.76,222
2009-04-19,1,36.81,3.73,3.0,4.85,406
2009-04-19,2,40.8,3.46,3.06,4.83,386
2009-04-19,3,41.72,3.28,3.0,4.83,274
2009-04-19,4,25.72,3.8,3.35,4.82,243
2009-04-19,5,24.84,3.83,3.33,4.83,350
2009-05-19,1,36.53,3.15,2.91,4.75,349
2009-05-19,2,42.88,3.33,2.98,4.8,350
2009-05-19,3,41.87,3.18,2.93,4.71,259
2009-05-19,4,23.96,3.77,3.29,4.58,609
2009-05-19,5,25.61,3.64,3.36,4.76,311
2009-06-14,1,37.49,3.43,2.9,4.78,125
2009-06-14,2,42.32,3.2,2.92,4.65,422
2009-06-14,3,42.08,3.13,2.89,4.7,541
2009-06-14,4,25.23,3.7,3.23,4.48,345
2009-06-14,5,27.34,3.79,3.24,4.71,272
2009-07-21,1,34.61,3.21,2.89,4.65,220
2009-07-21,2,40.24,2.96,2.91,4.64,579
2009-07-21,3,37.89,3.27,2.93,4.64,238
2009-07-21,4,24.05,3.5,3.26,4.52,344
2009-07-21,5,24.79,3.36,3.26,4.63,386
2009-09-01,1,34.68,2.87,2.74,4.37,222
2009-09-01,2,40.18,2.66,3.05,4.72,326
2009-09-01,3,37.3,2.86,3.11,4.61,235
2009-09-01,4,23.63,3.8,3.49,4.59,659
2009-09-01,5,25.95,3.32,3.32,4.59,270
2009-09-24,1,34.15,3.23,2.96,4.71,280
2009-09-24,2,37.76,2.87,3.04,4.64,281
2009-09-24,3,37.31,3.04,3.05,4.65,269
2009-09-24,4,23.05,4.06,3.46,4.55,366
2009-09-24,5,24.2,3.3,3.29,4.51,237
2009-10-26,1,34.58,2.25,2.06,3.19,202
2009-10-26,2,38.55,2.25,2.18,3.38,112
2009-10-26,3,38.58,2.76,2.55,4.08,263
2009-10-26,4,22.58,3.58,3.28,4.4,351
2009-10-26,5,19.34,3.69,3.29,4.29,224
2009-11-30,1,35.9,3.26,3.01,4.76,307
2009-11-30,2,39.71,3.11,3.09,4.67,284
2009-11-30,3,41.12,3.03,2.99,4.58,435
2009-11-30,4,22.55,3.77,3.47,4.47,426
2009-11-30,5,20.4,3.42,3.43,4.28,712
2009-12-22,1,35.37,3.2,2.92,4.45,669
2009-12-22,2,40.71,3.44,3.08,4.54,317
2009-12-22,3,41.86,3.21,3.04,4.61,661
2009-12-22,4,24.0,3.85,3.46,4.51,216
2009-12-22,5,23.02,3.88,3.55,4.63,234
2010-01-13,1,34.13,3.67,3.07,4.75,394
2010-01-13,2,42.73,3.56,3.02,4.67,398
2010-01-13,3,44.36,3.58,3.05,4.66,472
2010-01-13,4,25.0,4.06,3.4,4.7,203
2010-01-13,5,25.49,3.86,3.29,4.56,209
2010-02-16,1,33.55,3.44,2.98,4.79,121
2010-02-16,2,43.54,3.21,3.0,4.75,270
2010-02-16,3,44.32,3.17,2.9,4.64,333
2010-02-16,4,24.45,4.02,3.45,4.71,214
2010-02-16,5,27.12,3.85,3.42,4.76,199
2010-03-12,1,35.43,2.96,2.62,4.23,745
2010-03-12,2,44.82,3.09,3.0,4.75,281
2010-03-12,3,44.86,3.0,2.98,4.73,247
2010-03-12,4,24.93,3.81,3.42,4.71,209
2010-03-12,5,27.57,3.6,3.31,4.8,184
2010-03-12,7,15.8,4.14,2.68,4.69,95
2010-04-21,1,33.85,3.61,3.09,4.9,126
2010-04-21,2,44.95,3.44,2.95,4.8,335
2010-04-21,3,41.94,3.33,3.0,4.68,276
2010-04-21,4,22.8,4.15,3.46,4.64,321
2010-04-21,5,24.83,3.88,3.35,4.74,426
2010-05-26,1,32.87,3.31,3.07,4.77,152
2010-05-26,2,42.64,3.11,3.04,4.75,453
2010-05-26,3,42.39,2.94,3.06,4.76,166
2010-05-26,4,21.98,3.5,3.38,4.67,685
2010-05-26,5,22.52,3.77,3.36,4.83,362
2010-06-29,1,32.38,2.91,2.71,4.28,272
2010-06-29,2,42.16,3.36,2.96,4.72,356
2010-06-29,3,39.78,3.51,3.03,4.66,536
2010-06-29,4,23.29,3.62,3.25,4.67,342
2010-06-29,5,26.09,3.27,3.18,4.7,265
2010-07-19,1,34.18,3.21,2.94,4.88,228
2010-07-19,2,41.64,3.16,2.89,4.72,405
2010-07-19,3,41.58,3.42,3.03,4.76,244
2010-07-19,4,23.6,3.71,3.17,4.75,221
2010-07-19,5,24.59,3.81,3.22,4.67,310
2010-08-14,1,33.79,3.48,2.98,4.73,165
2010-08-14,2,40.11,3.52,2.9,4.48,318
2010-08-14,3,40.99,3.27,2.94,4.57,289
2010-08-14,4,22.74,3.88,3.27,4.59,238
2010-08-14,5,24.53,3.88,3.27,4.54,399
2010-09-07,1,33.31,3.46,2.78,4.39,591
2010-09-07,2,39.95,3.46,2.94,4.51,301
2010-09-07,3,41.37,3.38,2.95,4.57,478
2010-09-07,4,22.93,3.95,3.29,4.51,307
2010-09-07,5,25.68,3.95,3.22,4.57,203
2010-09-07,7,19.8,2.78,2.63,2.98,1037
2010-10-17,1,33.53,3.38,3.11,4.76,90
2010-10-17,2,39.36,3.53,2.97,4.49,259
2010-10-17,3,38.98,3.36,3.02,4.64,195
2010-10-17,4,21.23,4.05,3.45,4.49,205
2010-10-17,5,21.07,4.04,3.43,4.48,280
2010-11-07,1,34.46,3.23,3.01,4.65,104
2010-11-07,2,43.23,3.43,3.12,4.61,312
2010-11-07,3,41.13,3.36,3.17,4.6,562
